"Language","Angle","Mode","Setting","Seed"
"German","106.98644","Baseline","bpe-mr","3"
"Greek","90.87098","Baseline","bpe-mr","3"
"Hebrew","93.28084","Baseline","bpe-mr","3"
"Hindi","97.81931","Baseline","bpe-mr","3"
"Indonesian","76.76996","Baseline","bpe-mr","3"
"Japanese","102.63971","Baseline","bpe-mr","3"
"Korean","74.58106","Baseline","bpe-mr","3"
"Mandarin","94.89074","Baseline","bpe-mr","3"
"Persian","115.4218","Baseline","bpe-mr","3"
"Russian","99.51714","Baseline","bpe-mr","3"
"Spanish","88.95942","Baseline","bpe-mr","3"
"Tagalog","78.37997","Baseline","bpe-mr","3"
"Thai","85.21532","Baseline","bpe-mr","3"
"Turkish","82.6892","Baseline","bpe-mr","3"
"Vietnamese","83.71558","Baseline","bpe-mr","3"
"Basque","65.11146","Baseline","bpe04V","3"
"English","70.19592","Baseline","bpe04V","3"
"Finnish","78.29974","Baseline","bpe04V","3"
"French","80.44563","Baseline","bpe04V","3"
"German","61.66809","Baseline","bpe04V","3"
"Greek","84.19509","Baseline","bpe04V","3"
"Hebrew","73.78165","Baseline","bpe04V","3"
"Hindi","82.09262","Baseline","bpe04V","3"
"Indonesian","63.55114","Baseline","bpe04V","3"
"Japanese","102.37508","Baseline","bpe04V","3"
"Korean","60.94174","Baseline","bpe04V","3"
"Mandarin","122.48651","Baseline","bpe04V","3"
"Persian","69.28399","Baseline","bpe04V","3"
"Russian","74.95968","Baseline","bpe04V","3"
"Spanish","93.00741","Baseline","bpe04V","3"
"Tagalog","65.07124","Baseline","bpe04V","3"
"Thai","96.28039","Baseline","bpe04V","3"
"Turkish","60.00808","Baseline","bpe04V","3"
"Vietnamese","87.60627","Baseline","bpe04V","3"
"Basque","60.38641","Baseline","morf","3"
"English","67.40788","Baseline","morf","3"
"Finnish","75.90411","Baseline","morf","3"
"French","74.14396","Baseline","morf","3"
"German","61.94185","Baseline","morf","3"
"Greek","65.33115","Baseline","morf","3"
"Hebrew","77.84049","Baseline","morf","3"
"Hindi","70.15328","Baseline","morf","3"
"Indonesian","83.48042","Baseline","morf","3"
"Japanese","113.6761","Baseline","morf","3"
"Korean","61.02523","Baseline","morf","3"
"Mandarin","99.67062","Baseline","morf","3"
"Persian","88.78708","Baseline","morf","3"
"Russian","65.04496","Baseline","morf","3"
"Spanish","71.94269","Baseline","morf","3"
"Tagalog","59.72519","Baseline","morf","3"
"Thai","59.03801","Baseline","morf","3"
"Turkish","83.06385","Baseline","morf","3"
"Vietnamese","90.52711","Baseline","morf","3"
"Basque","69.02369","Baseline","spm","3"
"English","73.34221","Baseline","spm","3"
"Finnish","63.81454","Baseline","spm","3"
"French","79.92001","Baseline","spm","3"
"German","70.55922","Baseline","spm","3"
"Greek","80.78851","Baseline","spm","3"
"Hebrew","59.32267","Baseline","spm","3"
"Hindi","87.24638","Baseline","spm","3"
"Indonesian","78.59946","Baseline","spm","3"
"Japanese","114.68152","Baseline","spm","3"
"Korean","72.55955","Baseline","spm","3"
"Mandarin","124.492","Baseline","spm","3"
"Persian","97.12761","Baseline","spm","3"
"Russian","81.77237","Baseline","spm","3"
"Spanish","67.69345","Baseline","spm","3"
"Tagalog","59.13041","Baseline","spm","3"
"Thai","92.7322","Baseline","spm","3"
"Turkish","78.51543","Baseline","spm","3"
"Vietnamese","69.8476","Baseline","spm","3"
"Basque","87.40159","Baseline","wordpiece","3"
"English","89.28762","Baseline","wordpiece","3"
"Finnish","81.97778","Baseline","wordpiece","3"
"French","101.47438","Baseline","wordpiece","3"
"German","88.64428","Baseline","wordpiece","3"
"Greek","87.32794","Baseline","wordpiece","3"
"Hebrew","103.74219","Baseline","wordpiece","3"
"Hindi","107.46965","Baseline","wordpiece","3"
"Indonesian","78.12074","Baseline","wordpiece","3"
"Japanese","120.70848","Baseline","wordpiece","3"
"Korean","77.9344","Baseline","wordpiece","3"
"Mandarin","92.45108","Baseline","wordpiece","3"
"Persian","110.7635","Baseline","wordpiece","3"
"Russian","74.78798","Baseline","wordpiece","3"
"Spanish","79.85432","Baseline","wordpiece","3"
"Tagalog","81.55809","Baseline","wordpiece","3"
"Thai","86.41145","Baseline","wordpiece","3"
"Turkish","84.1773","Baseline","wordpiece","3"
"Vietnamese","95.40101","Baseline","wordpiece","3"
"Basque","97.77129","Baseline","bpe-mr","4"
"English","101.06692","Baseline","bpe-mr","4"
"Finnish","101.48487","Baseline","bpe-mr","4"
"French","102.53047","Baseline","bpe-mr","4"
"German","104.52414","Baseline","bpe-mr","4"
"Greek","84.88183","Baseline","bpe-mr","4"
"Hebrew","101.85916","Baseline","bpe-mr","4"
"Hindi","102.57726","Baseline","bpe-mr","4"
"Indonesian","86.41367","Baseline","bpe-mr","4"
"Japanese","92.87916","Baseline","bpe-mr","4"
"Korean","102.10547","Baseline","bpe-mr","4"
"Mandarin","78.0739","Baseline","bpe-mr","4"
"Persian","97.53271","Baseline","bpe-mr","4"
"Russian","99.51433","Baseline","bpe-mr","4"
"Spanish","85.52091","Baseline","bpe-mr","4"
"Tagalog","83.94832","Baseline","bpe-mr","4"
"Thai","89.57601","Baseline","bpe-mr","4"
"Turkish","78.98349","Baseline","bpe-mr","4"
"Vietnamese","86.55768","Baseline","bpe-mr","4"
"Basque","85.02489","Baseline","bpe04V","4"
"English","68.48738","Baseline","bpe04V","4"
"Finnish","63.64383","Baseline","bpe04V","4"
"French","70.23406","Baseline","bpe04V","4"
"German","76.00776","Baseline","bpe04V","4"
"Greek","60.21252","Baseline","bpe04V","4"
"Hebrew","94.2397","Baseline","bpe04V","4"
"Hindi","78.90248","Baseline","bpe04V","4"
"Indonesian","62.34198","Baseline","bpe04V","4"
"Japanese","112.93603","Baseline","bpe04V","4"
"Korean","90.61971","Baseline","bpe04V","4"
"Mandarin","92.01349","Baseline","bpe04V","4"
"Persian","73.01605","Baseline","bpe04V","4"
"Russian","73.95958","Baseline","bpe04V","4"
"Spanish","69.43139","Baseline","bpe04V","4"
"Tagalog","82.00833","Baseline","bpe04V","4"
"Thai","79.05742","Baseline","bpe04V","4"
"Turkish","57.73013","Baseline","bpe04V","4"
"Vietnamese","85.02397","Baseline","bpe04V","4"
"Basque","58.95653","Baseline","morf","4"
"English","60.2928","Baseline","morf","4"
"Finnish","62.49307","Baseline","morf","4"
"French","67.95235","Baseline","morf","4"
"German","59.12372","Baseline","morf","4"
"Greek","69.98408","Baseline","morf","4"
"Hebrew","98.14123","Baseline","morf","4"
"Hindi","86.42252","Baseline","morf","4"
"Indonesian","86.80663","Baseline","morf","4"
"Japanese","118.64652","Baseline","morf","4"
"Korean","90.73027","Baseline","morf","4"
"Mandarin","86.96042","Baseline","morf","4"
"Persian","88.84849","Baseline","morf","4"
"Russian","64.31681","Baseline","morf","4"
"Spanish","67.36333","Baseline","morf","4"
"Tagalog","65.55941","Baseline","morf","4"
"Thai","86.58859","Baseline","morf","4"
"Turkish","88.44435","Baseline","morf","4"
"Vietnamese","87.72964","Baseline","morf","4"
"Basque","81.41342","Baseline","spm","4"
"English","61.95647","Baseline","spm","4"
"Finnish","82.73114","Baseline","spm","4"
"French","64.83223","Baseline","spm","4"
"German","73.45605","Baseline","spm","4"
"Greek","67.15389","Baseline","spm","4"
"Hebrew","98.34673","Baseline","spm","4"
"Hindi","90.98975","Baseline","spm","4"
"Indonesian","66.38169","Baseline","spm","4"
"Japanese","115.82803","Baseline","spm","4"
"Korean","100.07771","Baseline","spm","4"
"Mandarin","123.9882","Baseline","spm","4"
"Persian","57.98342","Baseline","spm","4"
"Russian","78.07819","Baseline","spm","4"
"Spanish","72.42444","Baseline","spm","4"
"Tagalog","72.05186","Baseline","spm","4"
"Thai","89.90185","Baseline","spm","4"
"Turkish","61.92001","Baseline","spm","4"
"Vietnamese","68.91819","Baseline","spm","4"
"Basque","77.55002","Baseline","wordpiece","4"
"English","94.324","Baseline","wordpiece","4"
"Finnish","86.89566","Baseline","wordpiece","4"
"French","100.90037","Baseline","wordpiece","4"
"German","86.08288","Baseline","wordpiece","4"
"Greek","80.8188","Baseline","wordpiece","4"
"Hebrew","103.15517","Baseline","wordpiece","4"
"Hindi","107.73358","Baseline","wordpiece","4"
"Indonesian","84.54123","Baseline","wordpiece","4"
"Japanese","118.10924","Baseline","wordpiece","4"
"Korean","105.99272","Baseline","wordpiece","4"
"Mandarin","98.40897","Baseline","wordpiece","4"
"Persian","103.9472","Baseline","wordpiece","4"
"Russian","92.60057","Baseline","wordpiece","4"
"Spanish","90.04671","Baseline","wordpiece","4"
"Tagalog","77.74477","Baseline","wordpiece","4"
"Thai","85.14661","Baseline","wordpiece","4"
"Turkish","88.65365","Baseline","wordpiece","4"
"Vietnamese","91.32244","Baseline","wordpiece","4"
"Basque","99.66355","Baseline","bpe-mr","5"
"English","102.37167","Baseline","bpe-mr","5"
"Finnish","103.89321","Baseline","bpe-mr","5"
"French","106.03949","Baseline","bpe-mr","5"
"German","97.57868","Baseline","bpe-mr","5"
"Greek","85.26988","Baseline","bpe-mr","5"
"Hebrew","96.87068","Baseline","bpe-mr","5"
"Hindi","93.23302","Baseline","bpe-mr","5"
"Indonesian","69.50401","Baseline","bpe-mr","5"
"Japanese","94.27516","Baseline","bpe-mr","5"
"Korean","91.22968","Baseline","bpe-mr","5"
"Mandarin","87.05325","Baseline","bpe-mr","5"
"Persian","108.91653","Baseline","bpe-mr","5"
"Russian","98.73635","Baseline","bpe-mr","5"
"Spanish","99.43172","Baseline","bpe-mr","5"
"Tagalog","79.92276","Baseline","bpe-mr","5"
"Thai","80.32014","Baseline","bpe-mr","5"
"Turkish","89.42973","Baseline","bpe-mr","5"
"Vietnamese","85.16702","Baseline","bpe-mr","5"
"Basque","64.76057","Baseline","bpe04V","5"
"English","79.31506","Baseline","bpe04V","5"
"Finnish","61.75915","Baseline","bpe04V","5"
"French","109.71937","Baseline","bpe04V","5"
"German","66.789","Baseline","bpe04V","5"
"Greek","74.09934","Baseline","bpe04V","5"
"Hebrew","72.42609","Baseline","bpe04V","5"
"Hindi","87.07079","Baseline","bpe04V","5"
"Indonesian","66.50952","Baseline","bpe04V","5"
"Japanese","91.73411","Baseline","bpe04V","5"
"Korean","84.31968","Baseline","bpe04V","5"
"Mandarin","96.70695","Baseline","bpe04V","5"
"Persian","68.3236","Baseline","bpe04V","5"
"Russian","54.68612","Baseline","bpe04V","5"
"Spanish","72.53677","Baseline","bpe04V","5"
"Tagalog","58.35344","Baseline","bpe04V","5"
"Thai","82.09197","Baseline","bpe04V","5"
"Turkish","71.3239","Baseline","bpe04V","5"
"Vietnamese","80.25225","Baseline","bpe04V","5"
"Basque","60.97676","Baseline","morf","5"
"English","102.71233","Baseline","morf","5"
"Finnish","65.31023","Baseline","morf","5"
"French","64.71044","Baseline","morf","5"
"German","81.60549","Baseline","morf","5"
"Greek","54.67028","Baseline","morf","5"
"Hebrew","85.96457","Baseline","morf","5"
"Hindi","62.16344","Baseline","morf","5"
"Indonesian","70.29992","Baseline","morf","5"
"Japanese","115.876","Baseline","morf","5"
"Korean","84.44329","Baseline","morf","5"
"Mandarin","96.14914","Baseline","morf","5"
"Persian","89.6365","Baseline","morf","5"
"Russian","75.74255","Baseline","morf","5"
"Spanish","73.48934","Baseline","morf","5"
"Tagalog","63.06784","Baseline","morf","5"
"Thai","63.17421","Baseline","morf","5"
"Turkish","75.3337","Baseline","morf","5"
"Vietnamese","87.66773","Baseline","morf","5"
"Basque","76.49308","Baseline","spm","5"
"English","76.81655","Baseline","spm","5"
"Finnish","71.45225","Baseline","spm","5"
"French","77.33455","Baseline","spm","5"
"German","80.75398","Baseline","spm","5"
"Greek","69.22373","Baseline","spm","5"
"Hebrew","96.71425","Baseline","spm","5"
"Hindi","88.45571","Baseline","spm","5"
"Indonesian","72.37063","Baseline","spm","5"
"Japanese","123.5331","Baseline","spm","5"
"Korean","96.1051","Baseline","spm","5"
"Mandarin","123.14376","Baseline","spm","5"
"Persian","101.44627","Baseline","spm","5"
"Russian","67.54749","Baseline","spm","5"
"Spanish","91.73681","Baseline","spm","5"
"Tagalog","60.97032","Baseline","spm","5"
"Thai","90.21544","Baseline","spm","5"
"Turkish","75.44269","Baseline","spm","5"
"Vietnamese","68.87376","Baseline","spm","5"
"Basque","78.1249","Baseline","wordpiece","5"
"English","104.76124","Baseline","wordpiece","5"
"Finnish","78.49914","Baseline","wordpiece","5"
"French","101.18744","Baseline","wordpiece","5"
"German","88.66585","Baseline","wordpiece","5"
"Greek","85.61789","Baseline","wordpiece","5"
"Hebrew","91.75182","Baseline","wordpiece","5"
"Hindi","111.46587","Baseline","wordpiece","5"
"Indonesian","82.92979","Baseline","wordpiece","5"
"Japanese","96.67715","Baseline","wordpiece","5"
"Korean","87.60474","Baseline","wordpiece","5"
"Mandarin","103.95564","Baseline","wordpiece","5"
"Persian","107.37596","Baseline","wordpiece","5"
"Russian","88.18153","Baseline","wordpiece","5"
"Spanish","98.55973","Baseline","wordpiece","5"
"Tagalog","79.70389","Baseline","wordpiece","5"
"Thai","84.61884","Baseline","wordpiece","5"
"Turkish","86.7253","Baseline","wordpiece","5"
"Vietnamese","87.00783","Baseline","wordpiece","5"
